query,actual_response,retrieved_response,score,confidence
"@AmazonHelp Get your house in order and ask your delivery partners to stop giving wrong feedback. I buy from the top 3 (not giving names) and your last mile delivery is the worst, and deteriorating .",@547068 I understand your concern regarding the delivery of the items. Please drop in your details in the link provided earlier and we will check this out for you. ^AH,@452601 I'm sorry about the unpleasant experience. Kindly report this to our support team here (1/2) ^GD,0.5496834768677002,Low
@AmazonHelp Amazon Cust Cre is not able to resolve my problem related to refund. Checkout details of my a/c.(Reg Mob No: 9867111188),"@121648 Apologies, please fill this form: https://t.co/beaaDm0muc and we'll get back to you soon. (1/2) ^SI","@504215 I appreciate your patience. We've received your details, we are working on it and will get back to you at the earliest. ^SC",0.5857209509290731,Medium
"@115850 As 599 is free delivery, then why 847 need 6 more for free delivery? https://t.co/qnYaZvoGrN",@192640 That's strange. Please connect with us here: https://t.co/HQhpS2qeEd and we'll get this sorted out. ^MS,"@634835 Please don't provide your order details, as we consider it to be personal info. Our page is visible to the public. 2/2 ^PS",0.5101073245891941,Low
@AmazonHelp You are harassing me. See my account that you yourself cancelled this order. You sent me many SMS in this regard. I have replied your email many times. Do your job &amp; refund my money. Pl stop this nuisance of asking details again and again. @1145 Kindly intervene.,@183363 To the latest correspondence you've received for further assistance. 2/2 ^KH,"@183363 We'd like to help, please share your details in the link provided earlier. ^AG",0.5753028818146527,Medium
@115850 Already I have contacted your costumer service and follow what they say,@363468 Do keep us posted if this issue is not resolved. Appreciate your patience. ^RW,@221292 Thanks for the shout out! That's what we love to hear! 😍 ^JO,0.5744779222273532,Medium
@AmazonHelp @115821 really? This is how you ship a $200 motherboard? https://t.co/PesyISlrxW,@531985 I know how frustrating this can be. Your feedback helps us improve our packaging: https://t.co/pDfXYTQHSr ^BA,@638020 Sorry to hear about the issue with your orders packaging. Thank you for raising this with us. Please leave more feedback here: https://t.co/fxgZ6hTrFA so we can help improve future orders. ^ES,0.5451571219338858,Low
@AmazonHelp Call me on 9873388201. I have already spent a good part of my day taking to ur useless customer service and chatting. Not going to fill.,"@120092 For account security purposes you'd have to fill the form, for us to have a look into your issue and arrange a callback. 1/2 ^AB",@469062 We're still here if you need to reach back out! Let us know how your conversation goes! ^KJ,0.5917421631088545,Medium
"@AmazonHelp As usual nothing came of it , no call backs or communication even after 9 hours of form filling . The repayment url would be closed by then.",@442890 to you with an update for sure. Request you to wait. 2/2 ^NK,@159163 Sorry to hear that. Kindly check our correspondence here: https://t.co/fFwj6isyN8 and respond. ^NS,0.47940693351362823,Low
"@AmazonHelp I've been a loyal prime customer for years. Currently, I'm being given the run-around on the return of a $700 cookware set. I would really appreciate some help, as I'm furious at your customer service.","@230467 Hi, I am sorry to hear this. We can't view your account details on Twitter. Can you tell us a bit more about what you have been advised when you spoke with Customer Service? Was this item sold by Amazon or a seller?^BZ",@467263 Apologies for the trouble. Kindly fill in your details here: https://t.co/GIJyeYqKE0 and we'll get this sorted for you. ^PB,0.46805676467860446,Low
"@AmazonHelp não há instruções. por isso, estou entrando em contato por aqui. por favor, faça algum tipo de verificação.","@245813 Bruno, por gentileza contacte nosso SAC através de este link: https://t.co/pbJxrzpW4g . ^MB","@403782 Hola Marcelo,¿Qué no puedes enviar? ^JD",0.5680500964226346,Medium
